Order,MSD,VSD,total reading,r1(mm),Order,MSD,VSD,total reading,r2,diameter,diam (m),radius of curvature,LC,0.00001
20,19.5,49,0.01999,19.99,20,12,17,0.01217,12.17,7.82,0.00782,,Wavelength,0.0000005893
19,19.5,40,0.0199,19.9,19,12,26,0.01226,12.26,7.64,0.00764,1.180553199,,
18,19,31,0.01931,19.31,18,12,35,0.01235,12.35,6.96,0.00696,,,
17,19,20,0.0192,19.2,17,12,45,0.01245,12.45,6.75,0.00675,1.221406754,,
16,19,11,0.01911,19.11,16,12.5,5,0.01255,12.55,6.56,0.00656,,,
15,19,1,0.01901,19.01,15,12.5,15,0.01265,12.65,6.36,0.00636,1.096215849,,
14,18.5,40,0.0189,18.9,14,12.5,27,0.01277,12.77,6.13,0.00613,,,
13,18.5,28,0.01878,18.78,13,12.5,39,0.01289,12.89,5.89,0.00589,1.223824877,,
12,18.5,16,0.01866,18.66,12,13,0,0.013,13,5.66,0.00566,,,
11,18.5,3,0.01853,18.53,11,13,12,0.01312,13.12,5.41,0.00541,1.174062447,,
10,18,39,0.01839,18.39,10,13,26,0.01326,13.26,5.13,0.00513,,,
9,18,27,0.01827,18.27,9,13,39,0.01339,13.39,4.88,0.00488,1.06164093,,
8,18,12,0.01812,18.12,8,13.5,2,0.01352,13.52,4.6,0.0046,,,
7,17.5,48,0.01798,17.98,7,13.5,18,0.01368,13.68,4.3,0.0043,1.132699813,,
6,17.5,31,0.01781,17.81,6,13.5,35,0.01385,13.85,3.96,0.00396,,,
5,17.5,14,0.01764,17.64,5,14,2,0.01402,14.02,3.62,0.00362,1.093331071,,
4,17,42,0.01742,17.42,4,14,25,0.01425,14.25,3.17,0.00317,,,
3,17,19,0.01719,17.19,3,14,44,0.01444,14.44,2.75,0.00275,1.054810792,,
2,16.5,41,0.01691,16.91,2,14.5,25,0.01475,14.75,2.16,0.00216,,,
1,16.5,4,0.01654,16.54,1,15,11,0.01511,15.11,1.43,0.00143,1.111785169,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,1.13503309,,